                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65038,                 1.2932,                 1.8154,                 1.0889,                 0.1103,                0.31885,                0.08153,                0.05607,                0.08644,                0.26667,                0.06225,                0.03192,                 1.1981,                  15.44,                    inf,                 2.4447,             0.00047052,             0.00047052,             0.00047052
                      2,                0.86743,                 1.5939,                 1.4141,                 1.2362,                0.21618,                 0.3119,                0.16161,                0.10335,                0.18183,                0.27579,                0.12465,                0.05976,                 1.7552,                 36.569,                 11.096,                 2.6457,             0.00092811,             0.00092811,             0.00092811
                      3,                0.96035,                 1.7394,                 1.4245,                 1.3071,                 0.5267,                0.54623,                0.55496,                0.40141,                0.53106,                0.54623,                0.55921,                0.38912,                 1.0716,                 3.1038,                 6.4358,                 1.6883,              0.0013668,              0.0013668,              0.0013668
                      4,                0.89112,                 1.6572,                 1.2605,                 1.2597,                0.64172,                0.55893,                0.63612,                0.49115,                0.64172,                0.55893,                0.63669,                0.45901,                0.91499,                 2.5963,                 2.3462,                 1.3412,              0.0013441,              0.0013441,              0.0013441
                      5,                0.84007,                 1.5627,                 1.1657,                 1.2276,                0.77879,                0.70779,                0.78242,                0.60523,                0.78448,                0.71375,                0.74378,                0.56306,                0.75305,                 2.4585,                 1.3307,                  1.214,              0.0013441,              0.0013441,              0.0013441
                      6,                0.76806,                 1.3543,                 1.0319,                 1.1727,                0.85877,                 0.7259,                 0.8345,                0.66373,                0.85242,                0.73575,                0.81073,                0.62776,                0.70392,                 1.8577,                0.80805,                 1.1547,              0.0013158,              0.0013158,              0.0013158
                      7,                0.70335,                 1.2632,                0.93516,                 1.1273,                0.80271,                0.43198,                0.61675,                0.51174,                0.76712,                0.45696,                0.60784,                0.45882,                0.69786,                 2.0862,                  1.786,                 1.1459,              0.0012875,              0.0012875,              0.0012875
                      8,                0.65412,                 1.1261,                0.87165,                 1.0925,                0.74468,                0.73373,                0.79017,                0.64701,                0.74208,                0.72539,                0.77676,                0.61175,                 0.6778,                 1.8558,                 1.0369,                 1.1688,              0.0012592,              0.0012592,              0.0012592
                      9,                0.63124,                  1.117,                0.81605,                 1.0758,                0.92781,                0.81488,                0.91468,                0.78037,                0.93495,                0.81421,                0.88718,                0.73655,                0.57021,                 1.6481,                0.64666,                 1.0789,              0.0012309,              0.0012309,              0.0012309
                     10,                0.61945,                 1.0932,                0.78919,                 1.0683,                0.85171,                0.80445,                0.85895,                0.74186,                0.82209,                 0.7923,                0.84547,                0.68313,                0.59089,                 1.4419,                  0.776,                 1.1077,              0.0012026,              0.0012026,              0.0012026
                     11,                 0.5866,                0.95023,                0.77254,                 1.0421,                0.90137,                0.82397,                0.92455,                0.80438,                0.87957,                0.80105,                0.89958,                0.75967,                0.49404,                 1.3524,                0.66931,                0.99781,              0.0011744,              0.0011744,              0.0011744
                     12,                0.55857,                0.92298,                0.71643,                 1.0286,                0.95031,                0.85003,                0.93916,                0.82459,                 0.9486,                 0.8482,                0.92564,                0.79209,                0.50833,                 1.3319,                0.48899,                 1.0317,              0.0011461,              0.0011461,              0.0011461
                     13,                0.55909,                0.92772,                0.69309,                  1.032,                0.94412,                0.84121,                0.91676,                0.81408,                0.94188,                0.83554,                0.90859,                0.78164,                0.49258,                 1.3312,                 0.5056,                 1.0058,              0.0011178,              0.0011178,              0.0011178
                     14,                0.54898,                0.90321,                0.68912,                 1.0209,                0.87639,                 0.9093,                0.94965,                 0.8449,                0.89254,                0.89435,                0.93985,                0.80909,                0.44171,                 1.1513,                0.50057,                0.94538,              0.0010895,              0.0010895,              0.0010895
                     15,                0.51625,                0.87115,                 0.6462,                 1.0019,                0.96392,                0.86974,                0.94359,                0.85696,                0.96392,                0.86974,                 0.9368,                0.81071,                0.43818,                 1.3262,                0.45198,                0.98027,              0.0010612,              0.0010612,              0.0010612
                     16,                0.53085,                0.88526,                0.65225,                  1.018,                0.92677,                0.87889,                0.93803,                0.85052,                0.93185,                0.88023,                0.94086,                0.81777,                0.43834,                 1.1663,                0.46333,                0.95853,              0.0010329,              0.0010329,              0.0010329
                     17,                0.49698,                0.80273,                0.58014,                0.98719,                0.93877,                0.93317,                0.96034,                0.86697,                0.98534,                0.90133,                0.95315,                 0.8368,                0.42545,                 1.0451,                0.38117,                  0.955,              0.0010046,              0.0010046,              0.0010046
                     18,                0.50334,                0.79663,                0.58343,                0.99298,                0.91106,                0.85106,                0.90682,                0.81326,                0.95351,                0.81334,                 0.8942,                0.77439,                0.48966,                 1.2742,                0.48763,                 1.0336,             0.00097629,             0.00097629,             0.00097629
                     19,                0.48349,                0.73362,                0.57568,                0.97889,                0.93172,                0.92607,                0.96096,                0.86704,                0.92093,                0.90301,                0.94525,                0.83157,                0.42555,                 1.0653,                0.41614,                0.97347,               0.000948,               0.000948,               0.000948
                     20,                0.47551,                0.73937,                0.56682,                0.98147,                 0.9563,                0.91707,                0.96947,                 0.8829,                0.96097,                0.91555,                0.97603,                0.85124,                0.42377,                 1.0308,                0.37153,                0.97397,              0.0009197,              0.0009197,              0.0009197
                     21,                0.48137,                0.74596,                 0.5608,                 0.9685,                0.93956,                0.91349,                0.94703,                0.86497,                0.93107,                0.90417,                0.94011,                  0.827,                0.45595,                 1.0239,                0.46622,                0.97563,             0.00089141,             0.00089141,             0.00089141
                     22,                0.45417,                0.73031,                0.57577,                0.96731,                0.96894,                0.89887,                0.96854,                0.88971,                0.97211,                0.88092,                0.95127,                  0.846,                0.41218,                 1.0484,                0.35434,                0.93949,             0.00086312,             0.00086312,             0.00086312
                     23,                 0.4635,                0.71501,                0.53985,                0.96825,                0.92977,                 0.9341,                0.96618,                0.89536,                0.92964,                0.92341,                0.95838,                0.84416,                0.37087,                 1.1656,                0.35669,                0.90684,             0.00083482,             0.00083482,             0.00083482
                     24,                0.46198,                0.70525,                0.53011,                0.96708,                0.95035,                0.94215,                0.96864,                0.87763,                0.95402,                0.93268,                0.95591,                0.86233,                0.39488,                 1.2864,                0.38929,                 0.9212,             0.00080653,             0.00080653,             0.00080653
                     25,                0.42942,                0.64487,                0.49428,                0.94608,                0.94045,                 0.9172,                0.96645,                 0.8734,                0.93849,                0.91482,                0.95996,                0.85318,                0.42131,                 1.4574,                0.37434,                0.96021,             0.00077823,             0.00077823,             0.00077823
                     26,                0.42673,                0.62555,                 0.4767,                0.95321,                0.97087,                0.87863,                0.92622,                0.84284,                0.96196,                0.87114,                0.92519,                0.81574,                0.44032,                0.90546,                0.43981,                0.97475,             0.00074994,             0.00074994,             0.00074994
                     27,                0.41088,                0.60353,                 0.4703,                0.93117,                 0.9569,                0.89892,                0.97101,                0.87208,                0.95425,                0.90694,                0.96677,                0.86149,                0.40536,                0.75558,                0.40192,                0.92905,             0.00072164,             0.00072164,             0.00072164
                     28,                0.42271,                0.62378,                0.48475,                0.95132,                0.97526,                0.85927,                0.93433,                0.87034,                0.98829,                0.87236,                0.95089,                0.86946,                0.43553,                 1.0437,                0.43549,                0.97228,             0.00069335,             0.00069335,             0.00069335
                     29,                0.39994,                0.57279,                0.44221,                0.93391,                0.96452,                0.89473,                0.95317,                0.88178,                0.96254,                0.89235,                0.95023,                0.86654,                0.39313,                0.82174,                 0.3658,                0.93278,             0.00066506,             0.00066506,             0.00066506
                     30,                 0.4025,                0.60279,                0.46015,                0.92885,                  0.905,                0.91468,                0.96132,                0.90559,                0.91179,                0.92064,                0.96802,                0.88159,                0.32344,                0.79543,                0.35969,                0.89383,             0.00063676,             0.00063676,             0.00063676
                     31,                0.38928,                0.57642,                0.43669,                 0.9284,                0.94477,                0.94849,                0.97203,                0.90064,                0.95057,                0.95464,                0.97289,                0.89201,                0.34534,                0.86696,                0.30011,                0.90477,             0.00060847,             0.00060847,             0.00060847
                     32,                0.37789,                0.57189,                0.41935,                0.91474,                0.98921,                0.92309,                0.97279,                 0.9045,                  0.983,                0.90556,                0.96063,                0.88397,                0.35091,                0.72071,                0.33168,                0.91168,             0.00058017,             0.00058017,             0.00058017
                     33,                0.38189,                0.54021,                0.40272,                0.92166,                0.96282,                0.95133,                0.98082,                0.91677,                0.95768,                0.94329,                0.98008,                0.88934,                0.33151,                0.74497,                0.30488,                0.89605,             0.00055188,             0.00055188,             0.00055188
                     34,                0.38624,                0.56076,                0.41402,                0.92334,                 0.9692,                 0.8977,                 0.9603,                0.89712,                0.96712,                0.89532,                 0.9522,                0.88584,                 0.3675,                0.84973,                0.31209,                0.92113,             0.00052359,             0.00052359,             0.00052359
                     35,                0.36181,                0.52011,                0.37952,                0.91515,                0.96675,                0.89821,                0.96172,                 0.9024,                0.96371,                0.89773,                 0.9671,                 0.8862,                0.32331,                0.77056,                0.36102,                0.88677,             0.00049529,             0.00049529,             0.00049529
                     36,                0.35816,                0.51953,                0.38382,                 0.9095,                0.96847,                0.92183,                0.94894,                0.88522,                0.96469,                0.91349,                0.94932,                0.86679,                0.36066,                0.80436,                0.36099,                0.92322,               0.000467,               0.000467,               0.000467
                     37,                0.35669,                0.51011,                0.37039,                0.90606,                0.98599,                0.92083,                 0.9579,                0.88753,                 0.9771,                 0.9125,                0.95508,                0.87598,                0.36533,                0.82978,                0.32959,                0.92738,              0.0004387,              0.0004387,              0.0004387
                     38,                0.35174,                0.49561,                0.37575,                 0.9091,                0.95417,                0.92183,                0.96924,                0.92065,                0.96294,                0.93016,                0.96975,                0.90002,                0.33046,                0.76779,                0.33155,                0.89504,             0.00041041,             0.00041041,             0.00041041
                     39,                0.34251,                0.49425,                0.34679,                0.89636,                 0.9788,                0.93115,                0.95881,                0.91273,                 0.9788,                0.93115,                0.96433,                0.89235,                0.34904,                0.78871,                0.32967,                0.90475,             0.00038211,             0.00038211,             0.00038211
                     40,                0.33857,                0.48028,                0.35155,                0.89465,                0.97478,                0.92778,                0.95794,                0.90176,                0.94371,                0.94311,                0.95654,                0.88997,                0.35696,                0.88922,                0.36857,                 0.9248,             0.00035382,             0.00035382,             0.00035382
                     41,                 0.2861,                0.41685,                0.30317,                0.88228,                0.97413,                0.94015,                 0.9795,                0.92033,                0.97415,                 0.9461,                0.97667,                0.89553,                0.29541,                 1.0457,                0.27368,                0.88114,             0.00032553,             0.00032553,             0.00032553
                     42,                0.28652,                0.39834,                0.28728,                0.88577,                0.96012,                0.91904,                0.97521,                0.92375,                0.96664,                0.92444,                0.96574,                0.90078,                0.30509,                0.68572,                0.30593,                0.87221,             0.00029723,             0.00029723,             0.00029723
                     43,                0.27769,                 0.3779,                0.25999,                0.87879,                 0.9522,                0.94824,                0.98179,                0.92995,                 0.9378,                0.95709,                0.98144,                0.90738,                0.29257,                 1.0493,                0.27956,                0.87938,             0.00026894,             0.00026894,             0.00026894
                     44,                 0.2752,                0.38159,                0.25737,                0.87935,                0.93366,                0.96257,                0.96749,                0.91404,                0.93097,                0.96019,                0.96828,                0.89656,                0.33698,                0.77661,                0.29095,                0.93024,             0.00024064,             0.00024064,             0.00024064
                     45,                0.26601,                0.36122,                0.25257,                0.86625,                0.95399,                0.93968,                0.96865,                0.91208,                0.98096,                0.91815,                0.96544,                0.88759,                0.31155,                 1.0786,                0.29766,                 0.9001,             0.00021235,             0.00021235,             0.00021235
                     46,                0.25399,                0.34133,                0.23205,                0.85676,                0.95484,                0.95432,                 0.9805,                0.93098,                0.95241,                0.95261,                0.98106,                0.90795,                0.29932,                 0.7479,                0.29433,                0.87773,             0.00018406,             0.00018406,             0.00018406
                     47,                0.24775,                0.33906,                0.21572,                 0.8592,                0.96737,                0.94397,                0.98167,                0.94071,                0.96737,                0.94397,                0.98138,                0.91868,                0.28393,                0.59523,                0.26462,                0.85558,             0.00015576,             0.00015576,             0.00015576
                     48,                0.24496,                0.33354,                0.22518,                0.84806,                0.98876,                0.94025,                0.98221,                 0.9358,                0.98876,                0.94025,                0.98221,                 0.9193,                0.29352,                0.61563,                0.26391,                0.87318,             0.00012747,             0.00012747,             0.00012747
                     49,                0.23489,                0.32989,                0.20651,                0.84896,                0.99049,                0.93417,                0.97894,                0.94069,                0.94831,                0.96017,                0.97749,                0.91927,                0.26699,                0.61835,                0.26871,                0.84986,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.22275,                0.31175,                0.19304,                0.84388,                0.98726,                0.93814,                0.97332,                0.92587,                0.97855,                 0.9298,                 0.9639,                0.90633,                0.29058,                 0.6056,                0.24866,                0.88089,             7.0878e-05,             7.0878e-05,             7.0878e-05
